Bookmark,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,8,335,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,9,574,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,10,661,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,11,528,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,12,547,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DAM VC,2020,"5,630"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,1,"3,790",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,2,"4,400",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,3,"7,850",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,4,"9,588",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,5,"8,000",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,6,"11,328",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,7,"6,967",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,8,"6,967",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,9,"4,200",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,10,"5,171",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,11,"4,193",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,12,"3,683",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT DIABLO EAST,2020,"76,137"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,1,"1,695",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,2,"2,976",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,3,"3,656",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,4,"3,656",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,5,"2,800",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,6,"2,800",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,7,"4,894",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,8,"4,894",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,9,"5,747",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,10,"2,048",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,11,"2,889",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,12,"3,409",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT GOVERNORS LANDING,2020,"41,464"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,1,648,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,2,819,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,3,515,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,4,515,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,5,900,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,6,900,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,7,"1,060",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,8,"1,060",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,9,630,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,10,"5,950",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,11,666,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,12,"2,053",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT OLD 277 NORTH,2020,"15,716"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,1,571,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,2,571,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,3,631,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,4,631,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,5,900,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,6,127,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,7,686,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,8,686,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,9,"1,425",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT PECOS RIVER,2020,"9,417"
