Title,Bookmark
Annual Visitation by Park Type or Region for: 2019 By Park Type,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
National Historical Park,Tumacacori NHP,"39,704",0,"60,099",0,0,0,0,0,0,0,34,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Valley Forge NHP,"2,259,944",0,"4,519,888",0,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,War in the Pacific NHP,"432,213","1,059","434,373",530,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historical Park,Women's Rights NHP,"39,064","1,344","41,643",672,0,0,0,0,0,0,0,National Historical Park Total,"34,732,138","10,374,305","56,092,789","6,774,180",0,0,"20,304","19,637","6,369",0,"4,361","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Lakeshore,Apostle Islands NL,"240,613","2,016","792,123",504,0,0,0,0,"7,431",0,"7,644",National Lakeshore Total,"2,669,329","5,472","13,725,098","10,694",0,0,"76,089","67,889","54,897",0,"7,644","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Lakeshore,Pictured Rocks NL,"858,715","3,456","4,226,365","10,190",0,0,"16,851","6,212","28,179",0,0,National Lakeshore Total,"2,669,329","5,472","13,725,098","10,694",0,0,"76,089","67,889","54,897",0,"7,644","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Lakeshore,Sleeping Bear Dunes NL,"1,570,001",0,"8,706,610",0,0,0,"59,238","61,677","19,287",0,0,National Lakeshore Total,"2,669,329","5,472","13,725,098","10,694",0,0,"76,089","67,889","54,897",0,"7,644","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Arkansas Post NMEM,"28,519",0,"42,783",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Arlington House The R.E. Lee MEM,0,0,0,0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Chamizal NMEM,"38,228","47,298","49,882","165,543",0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Coronado NMEM,"130,328","2,508","155,389","1,248",0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,De Soto NMEM,"187,880",0,"310,003",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Federal Hall NMEM,"264,849","1,751","191,974","1,762",0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Flight 93 NMEM,"411,226",0,"719,642",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Fort Caroline NMEM,"187,658",0,"187,658",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Franklin Delano Roosevelt MEM,"3,303,573",0,"1,651,787",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,General Grant NMEM,"113,852",137,"60,175",75,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Hamilton Grange NMEM,"71,247",126,"55,312",8,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Johnstown Flood NMEM,"183,143","161,991","193,618","4,859",0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Korean War Veterans Memorial,"3,841,633",0,"1,920,815",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,LBJ Memorial Grove on the Potomac,"244,246",0,"122,124",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Lincoln Boyhood NMEM,"138,714","16,200","156,053","2,700",0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Lincoln Memorial,"7,808,182",0,"3,904,090",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,"Martin Luther King, Jr. Memorial","3,667,562",0,"1,833,782",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Mount Rushmore NMEM,"1,963,540","676,978","2,585,314","225,657",0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Pearl Harbor NMEM,"1,716,535",0,"5,149,605",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Perry's Victory & Intl. Peace MEM,"121,325",0,"119,054",0,0,0,0,0,0,0,124,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Port Chicago Naval Magazine NMEM,830,0,"1,660",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Roger Williams NMEM,"59,419","83,485","51,197","6,678",0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Thaddeus Kosciuszko NMEM,"1,921",0,479,0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Theodore Roosevelt Island,"151,500",0,"272,700",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Thomas Jefferson MEM,"3,096,895",0,"1,548,449",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Vietnam Veterans MEM,"4,580,587",0,"2,290,293",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Washington Monument,"108,410",0,"108,410",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,World War II Memorial,"4,831,327",0,"2,415,665",0,0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Memorial,Wright Brothers NMEM,"400,135","2,190","400,135","1,095",0,0,0,0,0,0,0,National Memorial Total,"37,653,264","992,664","26,498,048","409,625",0,0,0,0,0,0,124,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Chickamauga & Chattanooga NMP,"977,158","2,182,308","1,876,280","327,345",0,0,0,0,0,0,"1,677",National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Fredericksburg & Spotsylvania NMP,"906,800","1,396,899","426,483","165,879",0,0,0,0,0,0,0,National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Gettysburg NMP,"925,117","74,400","4,118,714","12,348",0,0,0,0,0,0,"7,888",National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Guilford Courthouse NMP,"223,900","4,027,847","145,774","33,432",0,0,0,0,0,0,15,National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Horseshoe Bend NMP,"45,372",0,"140,988",0,0,0,0,0,0,0,0,National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Kings Mountain NMP,"262,031","253,144","226,036","42,174",0,0,0,0,67,0,0,National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Pea Ridge NMP,"102,753",0,"205,507",0,0,0,0,0,0,0,0,National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Shiloh NMP,"360,989","152,902","521,420","30,581",0,0,0,0,0,0,0,National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Military Park,Vicksburg NMP,"576,456",0,"1,280,891",0,0,0,0,0,0,0,0,National Military Park Total,"4,380,576","8,087,500","8,942,093","611,759",0,0,0,0,67,0,"9,580","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,African Burial Ground NM,"47,427",0,"33,765",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Agate Fossil Beds NM,"16,657",0,"37,706",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Alibates Flint Quarries NM,"8,847",0,"22,116",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Aniakchak NM & PRES,100,0,"5,520",0,0,0,0,0,230,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Aztec Ruins NM,"63,777","2,663","95,666","2,663",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Bandelier NM,"200,741",840,"928,350",216,0,0,"4,813","6,224",585,0,"5,676",National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Belmont-Paul Women's Equality NM,"9,913",0,"8,944",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Booker T. Washington NM,"24,640",84,"48,283",12,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Buck Island Reef NM,"37,085",0,"220,064",0,0,0,0,0,0,0,"3,840",National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Cabrillo NM,"761,485","81,792","1,139,001","20,447",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Canyon de Chelly NM,"460,757","702,768","3,138,142","1,405,534","15,887","14,437",0,0,810,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Cape Krusenstern NM,"16,226","7,800","45,828","62,400",0,0,0,0,"6,425","5,925",0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Capulin Volcano NM,"81,617",380,"113,615",380,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Casa Grande Ruins NM,"68,379","2,160","93,138",216,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Castillo de San Marcos NM,"673,395",0,"505,047",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Castle Clinton NM,"4,361,034",594,"2,190,694",116,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Cedar Breaks NM,"579,861","54,768","1,232,294","109,538",0,0,"2,004","2,028",0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Cesar E. Chavez NM,"16,490",0,"8,246",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Charles Young Buffalo Soldiers NM,"14,106",0,"27,861",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Chiricahua NM,"60,655","3,600","335,110","1,200",0,0,"7,157","5,231",0,0,"1,199",National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Colorado NM,"397,032","368,232","1,377,234","184,116",0,0,"17,159","18,039",278,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Craters of the Moon NM & PRES,"272,224",0,"774,626",0,0,0,"6,001","9,679",50,0,49,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Devils Postpile NM,"147,864",0,"517,521",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Devils Tower NM,"450,785","2,978","1,288,987","1,488",0,0,"5,639","7,305",0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Dinosaur NM,"298,965",732,"1,835,325",732,0,0,"18,729","17,210","30,338",0,"2,475",National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Effigy Mounds NM,"65,581","1,200","163,956",204,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,El Malpais NM,"158,924",720,"635,695",180,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,El Morro NM,"68,867","14,283","218,969","4,711",0,0,"2,512","1,767",0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Florissant Fossil Beds NM,"77,340",0,"94,666",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Fort Frederica NM,"212,330","1,800","214,291",444,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Fort Matanzas NM,"593,788",0,"601,393",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Fort McHenry NM & HS,"419,545",720,"629,318",360,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Fort Pulaski NM,"374,290","19,476","935,721","4,872",0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Monument,Fort Stanwix NM,"97,412",0,"146,118",0,0,0,0,0,0,0,0,National Monument Total,"22,406,247","2,916,232","49,991,427","2,517,775","15,887","14,437","84,923","102,865","39,392","5,925","13,453","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
