Title,Bookmark
Annual Visitation by Park Type or Region for: 2019 By Park Type,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
National Historic Site,Clara Barton NHS,"4,100",0,"4,100",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Edgar Allan Poe NHS,"15,527",0,"15,527",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Eisenhower NHS,"47,277",0,"75,643",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Eleanor Roosevelt NHS,"47,630",0,"71,448",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Eugene O'Neill NHS,"2,944",74,"6,330",148,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,First Ladies NHS,"10,913",0,"21,826",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Ford's Theatre NHS,"572,373","3,260","804,183","9,780",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Bowie NHS,"7,577",0,"15,154",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Davis NHS,"51,995",255,"103,992","1,390",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Laramie NHS,"42,892",365,"64,335",544,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Larned NHS,"26,958",0,"53,916",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Point NHS,"1,421,349",0,"781,433",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Raleigh NHS,"248,139","1,344","361,167","1,344",0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Scott NHS,"24,068",420,"36,102",138,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Historic Site,Fort Smith NHS,"125,500",0,"86,161",0,0,0,0,0,0,0,0,National Historic Site Total,"8,850,017","323,972","10,917,268","822,423",0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
